time,event,delta,cumulative,at_capacity
2025-09-01 13:03:49.060,departure,-1,1196,True
2025-09-01 13:05:26.746,arrival,1,1197,True
2025-09-01 13:09:04.837,departure,-1,1196,True
2025-09-01 13:20:15.780,arrival,1,1197,True
2025-09-01 13:20:25.053,arrival,1,1198,True
2025-09-01 13:27:36.526,arrival,1,1199,True
2025-09-01 13:34:26.328,departure,-1,1198,True
2025-09-01 13:37:10.856,departure,-1,1197,True
2025-09-01 13:39:36.287,departure,-1,1196,True
2025-09-01 13:39:40.733,departure,-1,1195,True
2025-09-01 13:40:53.207,arrival,1,1196,True
2025-09-01 13:40:55.941,arrival,1,1197,True
2025-09-01 13:41:04.755,departure,-1,1196,True
2025-09-01 13:41:23.570,departure,-1,1195,True
2025-09-01 13:42:52.922,departure,-1,1194,True
2025-09-01 13:44:42.572,departure,-1,1193,True
2025-09-01 13:45:10.147,departure,-1,1192,True
2025-09-01 13:46:22.179,departure,-1,1191,True
2025-09-01 13:46:32.776,departure,-1,1190,True
2025-09-01 13:49:08.594,arrival,1,1191,True
2025-09-01 13:49:54.091,departure,-1,1190,True
2025-09-01 13:50:41.661,departure,-1,1189,True
2025-09-01 13:54:32.937,departure,-1,1188,True
2025-09-01 13:57:01.599,arrival,1,1189,True
2025-09-01 13:57:07.699,departure,-1,1188,True
2025-09-01 13:57:42.072,departure,-1,1187,True
2025-09-01 13:58:48.561,arrival,1,1188,True
2025-09-01 13:58:55.299,departure,-1,1187,True
2025-09-01 14:02:46.150,departure,-1,1186,True
2025-09-01 14:10:42.273,arrival,1,1187,True
2025-09-01 14:12:33.836,arrival,1,1188,True
2025-09-01 14:14:25.547,departure,-1,1187,True
2025-09-01 14:20:28.267,departure,-1,1186,True
2025-09-01 14:21:52.179,arrival,1,1187,True
2025-09-01 14:24:13.449,arrival,1,1188,True
2025-09-01 14:24:20.816,arrival,1,1189,True
2025-09-01 14:24:26.145,arrival,1,1190,True
2025-09-01 14:24:29.537,arrival,1,1191,True
2025-09-01 14:24:43.741,departure,-1,1190,True
2025-09-01 14:26:34.504,departure,-1,1189,True
2025-09-01 14:27:12.681,arrival,1,1190,True
2025-09-01 14:27:51.693,departure,-1,1189,True
2025-09-01 14:28:00.477,departure,-1,1188,True
2025-09-01 14:30:00.633,arrival,1,1189,True
2025-09-01 14:35:37.748,arrival,1,1190,True
2025-09-01 14:36:41.890,departure,-1,1189,True
2025-09-01 14:37:39.554,arrival,1,1190,True
2025-09-01 14:40:38.883,departure,-1,1189,True
2025-09-01 14:42:06.391,departure,-1,1188,True
2025-09-01 14:42:44.990,departure,-1,1187,True
2025-09-01 14:43:28.154,arrival,1,1188,True
2025-09-01 14:43:41.293,departure,-1,1187,True
2025-09-01 14:43:47.213,departure,-1,1186,True
2025-09-01 14:46:07.113,arrival,1,1187,True
2025-09-01 14:48:37.877,arrival,1,1188,True
2025-09-01 14:53:40.184,arrival,1,1189,True
2025-09-01 14:54:24.537,departure,-1,1188,True
2025-09-01 14:54:44.264,arrival,1,1189,True
2025-09-01 14:54:59.057,departure,-1,1188,True
2025-09-01 14:56:03.843,departure,-1,1187,True
2025-09-01 14:57:33.424,arrival,1,1188,True
2025-09-01 14:59:38.274,arrival,1,1189,True
2025-09-01 15:01:29.841,arrival,1,1190,True
2025-09-01 15:02:17.569,arrival,1,1191,True
2025-09-01 15:02:21.154,arrival,1,1192,True
2025-09-01 15:02:55.335,arrival,1,1193,True
2025-09-01 15:04:41.782,departure,-1,1192,True
2025-09-01 15:05:49.685,arrival,1,1193,True
2025-09-01 15:06:21.636,arrival,1,1194,True
2025-09-01 15:09:20.733,arrival,1,1195,True
2025-09-01 15:11:59.981,departure,-1,1194,True
2025-09-01 15:12:05.597,arrival,1,1195,True
2025-09-01 15:14:45.381,arrival,1,1196,True
2025-09-01 15:17:32.068,arrival,1,1197,True
2025-09-01 15:18:18.418,departure,-1,1196,True
2025-09-01 15:19:16.650,arrival,1,1197,True
2025-09-01 15:19:55.368,arrival,1,1198,True
2025-09-01 15:21:13.757,arrival,1,1199,True
2025-09-01 15:22:25.045,departure,-1,1198,True
2025-09-01 15:22:51.017,arrival,1,1199,True
2025-09-01 15:23:27.267,departure,-1,1198,True
2025-09-01 15:23:59.323,departure,-1,1197,True
2025-09-01 15:24:10.053,arrival,1,1198,True
2025-09-01 15:25:42.608,departure,-1,1197,True
2025-09-01 15:26:32.288,arrival,1,1198,True
2025-09-01 15:27:25.874,departure,-1,1197,True
2025-09-01 15:33:20.973,departure,-1,1196,True
2025-09-01 15:33:39.380,departure,-1,1195,True
2025-09-01 15:38:50.975,departure,-1,1194,True
2025-09-01 15:42:43.889,arrival,1,1195,True
2025-09-01 15:43:10.353,departure,-1,1194,True
2025-09-01 15:45:42.750,departure,-1,1193,True
2025-09-01 15:48:56.994,departure,-1,1192,True
2025-09-01 15:52:51.653,arrival,1,1193,True
2025-09-01 15:53:35.415,departure,-1,1192,True
2025-09-01 15:53:45.940,departure,-1,1191,True
2025-09-01 15:54:57.018,arrival,1,1192,True
2025-09-01 15:56:31.450,departure,-1,1191,True
2025-09-01 15:56:41.547,arrival,1,1192,True
2025-09-01 16:01:24.220,arrival,1,1193,True
2025-09-01 16:07:33.065,arrival,1,1194,True
2025-09-01 16:07:56.984,arrival,1,1195,True
2025-09-01 16:07:58.819,arrival,1,1196,True
2025-09-01 16:11:23.673,arrival,1,1197,True
2025-09-01 16:12:00.242,arrival,1,1198,True
2025-09-01 16:13:35.100,arrival,1,1199,True
2025-09-01 16:14:07.623,arrival,1,1200,True
2025-09-01 16:15:52.886,arrival,1,1201,True
2025-09-01 16:16:49.239,arrival,1,1202,True
2025-09-01 16:16:52.941,arrival,1,1203,True
2025-09-01 16:19:07.849,arrival,1,1204,True
2025-09-01 16:20:16.856,arrival,1,1205,True
2025-09-01 16:22:44.345,arrival,1,1206,True
2025-09-01 16:23:19.312,arrival,1,1207,True
2025-09-01 16:28:29.291,departure,-1,1206,True
2025-09-01 16:28:36.199,departure,-1,1205,True
2025-09-01 16:28:37.588,departure,-1,1204,True
2025-09-01 16:33:13.806,departure,-1,1203,True
2025-09-01 16:33:17.610,departure,-1,1202,True
2025-09-01 16:35:05.525,departure,-1,1201,True
2025-09-01 16:36:35.021,departure,-1,1200,True
2025-09-01 16:36:41.536,arrival,1,1201,True
2025-09-01 16:38:07.338,departure,-1,1200,True
2025-09-01 16:39:56.170,departure,-1,1199,True
2025-09-01 16:42:43.285,departure,-1,1198,True
2025-09-01 16:42:49.526,arrival,1,1199,True
2025-09-01 16:43:54.805,departure,-1,1198,True
2025-09-01 16:45:51.922,arrival,1,1199,True
2025-09-01 16:46:50.168,arrival,1,1200,True
2025-09-01 16:48:12.704,departure,-1,1199,True
2025-09-01 16:49:12.079,departure,-1,1198,True
2025-09-01 16:52:41.547,departure,-1,1197,True
2025-09-01 16:53:26.624,departure,-1,1196,True
2025-09-01 16:56:07.195,departure,-1,1195,True
2025-09-01 16:58:03.153,arrival,1,1196,True
2025-09-01 17:00:43.047,departure,-1,1195,True
2025-09-01 17:01:41.040,departure,-1,1194,True
2025-09-01 17:02:30.693,departure,-1,1193,True
2025-09-01 17:02:55.746,departure,-1,1192,True
2025-09-01 17:10:50.111,arrival,1,1193,True
2025-09-01 17:12:30.872,departure,-1,1192,True
2025-09-01 17:12:53.654,arrival,1,1193,True
2025-09-01 17:12:56.573,departure,-1,1192,True
2025-09-01 17:13:49.208,departure,-1,1191,True
2025-09-01 17:15:15.480,departure,-1,1190,True
2025-09-01 17:15:36.812,arrival,1,1191,True
2025-09-01 17:17:35.043,departure,-1,1190,True
2025-09-01 17:21:12.269,arrival,1,1191,True
2025-09-01 17:22:03.411,arrival,1,1192,True
2025-09-01 17:23:42.575,arrival,1,1193,True
2025-09-01 17:23:47.101,arrival,1,1194,True
2025-09-01 17:24:01.920,arrival,1,1195,True
2025-09-01 17:26:35.503,arrival,1,1196,True
2025-09-01 17:29:11.426,departure,-1,1195,True
2025-09-01 17:30:37.110,departure,-1,1194,True
2025-09-01 17:33:03.779,arrival,1,1195,True
