time,event,delta,inventory,at_capacity,at_empty
2025-09-01 18:39:46.575,arrival,1,10,False,False
2025-09-01 18:40:55.660,arrival,1,11,False,False
2025-09-01 18:41:47.647,departure,-1,10,False,False
2025-09-01 18:46:48.915,departure,-1,9,False,False
2025-09-01 18:53:27.985,departure,-1,8,False,False
2025-09-01 18:53:29.224,departure,-1,7,False,False
2025-09-01 18:58:17.636,arrival,1,8,False,False
2025-09-01 18:58:29.248,departure,-1,7,False,False
2025-09-01 19:06:34.623,departure,-1,6,False,False
2025-09-01 19:19:42.676,departure,-1,5,False,False
2025-09-01 19:42:10.451,arrival,1,6,False,False
2025-09-01 19:47:41.739,departure,-1,5,False,False
2025-09-01 19:58:18.525,departure,-1,4,False,False
2025-09-01 19:58:40.331,arrival,1,5,False,False
2025-09-01 20:12:58.174,arrival,1,6,False,False
2025-09-01 20:17:03.571,departure,-1,5,False,False
2025-09-01 20:17:11.698,arrival,1,6,False,False
2025-09-01 20:17:15.744,arrival,1,7,False,False
2025-09-01 20:19:34.757,arrival,1,8,False,False
2025-09-01 20:35:50.100,arrival,1,9,False,False
2025-09-01 20:35:58.020,arrival,1,10,False,False
2025-09-01 20:52:47.368,arrival,1,11,False,False
2025-09-01 20:57:48.976,departure,-1,10,False,False
2025-09-01 20:58:10.738,departure,-1,9,False,False
2025-09-01 21:02:34.359,arrival,1,10,False,False
2025-09-01 21:07:23.688,arrival,1,11,False,False
2025-09-01 21:13:07.265,departure,-1,10,False,False
2025-09-01 21:15:47.083,departure,-1,9,False,False
2025-09-01 21:18:46.630,departure,-1,8,False,False
2025-09-01 21:19:02.982,departure,-1,7,False,False
2025-09-01 21:25:20.750,departure,-1,6,False,False
2025-09-01 21:29:15.712,departure,-1,5,False,False
2025-09-01 22:22:57.737,departure,-1,4,False,False
2025-09-01 23:31:49.267,arrival,1,5,False,False
2025-09-02 00:01:51.115,departure,-1,4,False,False
2025-09-02 06:14:20.334,arrival,1,5,False,False
2025-09-02 06:32:50.912,arrival,1,6,False,False
2025-09-02 06:36:18.889,departure,-1,5,False,False
2025-09-02 06:41:32.677,departure,-1,4,False,False
2025-09-02 06:55:58.789,arrival,1,5,False,False
2025-09-02 06:59:06.792,departure,-1,4,False,False
2025-09-02 07:36:31.062,arrival,1,5,False,False
2025-09-02 07:37:04.521,arrival,1,6,False,False
2025-09-02 07:41:12.323,arrival,1,7,False,False
2025-09-02 07:51:42.543,arrival,1,8,False,False
2025-09-02 07:54:57.607,arrival,1,9,False,False
2025-09-02 07:56:00.046,arrival,1,10,False,False
2025-09-02 07:56:02.608,arrival,1,11,False,False
2025-09-02 07:56:45.461,arrival,1,12,False,False
2025-09-02 08:01:28.525,departure,-1,11,False,False
2025-09-02 08:01:34.124,arrival,1,12,False,False
2025-09-02 08:06:25.353,arrival,1,13,False,False
2025-09-02 08:17:16.006,arrival,1,14,False,False
2025-09-02 08:21:33.873,departure,-1,13,False,False
2025-09-02 08:21:37.115,departure,-1,12,False,False
2025-09-02 08:21:53.304,arrival,1,13,False,False
2025-09-02 08:25:34.354,arrival,1,14,False,False
2025-09-02 08:31:45.722,departure,-1,13,False,False
2025-09-02 08:39:20.849,arrival,1,14,False,False
2025-09-02 08:40:17.451,arrival,1,15,False,False
2025-09-02 08:42:09.391,arrival,1,16,False,False
2025-09-02 08:42:33.639,arrival,1,17,False,False
2025-09-02 08:42:42.984,departure,-1,16,False,False
2025-09-02 08:44:19.254,arrival,1,17,False,False
2025-09-02 08:44:25.129,arrival,1,18,False,False
2025-09-02 08:47:06.282,arrival,1,19,False,False
2025-09-02 08:54:26.224,arrival,1,20,False,False
2025-09-02 08:57:25.200,departure,-1,19,False,False
2025-09-02 08:59:14.738,arrival,1,20,False,False
2025-09-02 09:03:17.085,departure,-1,19,False,False
2025-09-02 09:08:52.198,arrival,1,20,False,False
2025-09-02 09:11:13.181,arrival,1,21,False,False
2025-09-02 09:15:03.374,arrival,1,22,False,False
2025-09-02 09:17:02.726,arrival,1,23,True,False
2025-09-02 09:19:40.922,arrival,1,23,True,False
2025-09-02 09:20:13.080,departure,-1,22,False,False
2025-09-02 09:21:59.581,arrival,1,23,True,False
2025-09-02 09:23:22.849,arrival,1,23,True,False
2025-09-02 09:28:29.366,arrival,1,23,True,False
2025-09-02 09:33:37.425,departure,-1,22,False,False
2025-09-02 09:34:51.504,departure,-1,21,False,False
2025-09-02 09:39:16.291,arrival,1,22,False,False
2025-09-02 09:55:01.164,departure,-1,21,False,False
2025-09-02 09:55:18.945,arrival,1,22,False,False
2025-09-02 09:56:39.539,arrival,1,23,True,False
2025-09-02 09:57:58.783,departure,-1,22,False,False
2025-09-02 09:58:56.408,arrival,1,23,True,False
2025-09-02 10:02:43.866,departure,-1,22,False,False
2025-09-02 10:09:50.543,arrival,1,23,True,False
2025-09-02 10:12:07.451,departure,-1,22,False,False
2025-09-02 10:13:33.439,arrival,1,23,True,False
2025-09-02 10:19:10.472,departure,-1,22,False,False
2025-09-02 10:19:23.537,arrival,1,23,True,False
2025-09-02 10:30:47.851,departure,-1,22,False,False
2025-09-02 10:32:30.478,arrival,1,23,True,False
2025-09-02 10:35:34.060,departure,-1,22,False,False
2025-09-02 10:37:46.817,arrival,1,23,True,False
2025-09-02 10:43:00.169,departure,-1,22,False,False
2025-09-02 10:44:09.479,arrival,1,23,True,False
2025-09-02 10:44:53.694,departure,-1,22,False,False
2025-09-02 10:45:48.223,arrival,1,23,True,False
2025-09-02 10:48:56.507,departure,-1,22,False,False
2025-09-02 11:00:48.340,arrival,1,23,True,False
2025-09-02 11:01:41.861,departure,-1,22,False,False
2025-09-02 11:03:25.319,arrival,1,23,True,False
2025-09-02 11:09:18.031,departure,-1,22,False,False
2025-09-02 11:09:53.502,arrival,1,23,True,False
2025-09-02 11:52:56.325,departure,-1,22,False,False
2025-09-02 11:53:19.815,arrival,1,23,True,False
2025-09-02 11:56:12.880,departure,-1,22,False,False
2025-09-02 11:59:00.602,arrival,1,23,True,False
2025-09-02 12:01:36.991,departure,-1,22,False,False
2025-09-02 12:02:21.873,departure,-1,21,False,False
2025-09-02 12:02:58.499,departure,-1,20,False,False
2025-09-02 12:03:46.700,arrival,1,21,False,False
2025-09-02 12:05:49.722,arrival,1,22,False,False
2025-09-02 12:07:26.843,departure,-1,21,False,False
2025-09-02 12:09:24.952,arrival,1,22,False,False
2025-09-02 12:09:39.911,arrival,1,23,True,False
2025-09-02 12:15:50.028,departure,-1,22,False,False
2025-09-02 12:16:12.572,arrival,1,23,True,False
2025-09-02 12:35:50.548,departure,-1,22,False,False
2025-09-02 12:39:19.599,arrival,1,23,True,False
2025-09-02 12:57:22.608,departure,-1,22,False,False
2025-09-02 12:59:17.594,arrival,1,23,True,False
2025-09-02 13:17:32.597,departure,-1,22,False,False
2025-09-02 13:19:35.437,departure,-1,21,False,False
2025-09-02 13:19:50.954,departure,-1,20,False,False
2025-09-02 13:26:13.465,departure,-1,19,False,False
2025-09-02 13:30:37.156,departure,-1,18,False,False
2025-09-02 13:33:03.458,departure,-1,17,False,False
2025-09-02 13:36:38.916,arrival,1,18,False,False
2025-09-02 13:46:45.746,arrival,1,19,False,False
2025-09-02 13:53:18.820,departure,-1,18,False,False
2025-09-02 13:54:40.414,departure,-1,17,False,False
2025-09-02 13:56:15.480,arrival,1,18,False,False
2025-09-02 14:01:04.225,arrival,1,19,False,False
2025-09-02 14:01:31.414,arrival,1,20,False,False
2025-09-02 14:05:50.593,arrival,1,21,False,False
2025-09-02 14:06:20.786,departure,-1,20,False,False
2025-09-02 14:10:07.544,arrival,1,21,False,False
2025-09-02 14:10:55.112,departure,-1,20,False,False
2025-09-02 14:17:02.718,arrival,1,21,False,False
2025-09-02 14:17:48.214,arrival,1,22,False,False
2025-09-02 14:23:44.944,departure,-1,21,False,False
2025-09-02 14:29:38.339,departure,-1,20,False,False
2025-09-02 14:29:51.633,departure,-1,19,False,False
2025-09-02 14:42:33.999,departure,-1,18,False,False
2025-09-02 14:50:42.224,departure,-1,17,False,False
2025-09-02 14:51:01.944,departure,-1,16,False,False
2025-09-02 14:51:07.326,departure,-1,15,False,False
2025-09-02 14:51:08.286,arrival,1,16,False,False
2025-09-02 14:51:14.317,departure,-1,15,False,False
2025-09-02 14:51:18.075,departure,-1,14,False,False
2025-09-02 14:51:51.404,departure,-1,13,False,False
2025-09-02 14:56:41.282,departure,-1,12,False,False
2025-09-02 14:57:38.812,arrival,1,13,False,False
2025-09-02 14:59:51.721,arrival,1,14,False,False
2025-09-02 15:06:07.909,departure,-1,13,False,False
2025-09-02 15:15:45.909,departure,-1,12,False,False
2025-09-02 15:21:17.151,arrival,1,13,False,False
2025-09-02 15:23:34.996,departure,-1,12,False,False
2025-09-02 15:26:20.566,departure,-1,11,False,False
2025-09-02 15:27:20.867,departure,-1,10,False,False
2025-09-02 15:27:38.354,arrival,1,11,False,False
2025-09-02 15:31:43.898,departure,-1,10,False,False
2025-09-02 15:34:52.182,arrival,1,11,False,False
2025-09-02 15:38:47.698,arrival,1,12,False,False
2025-09-02 15:39:01.873,departure,-1,11,False,False
2025-09-02 15:39:53.004,arrival,1,12,False,False
2025-09-02 15:43:25.857,arrival,1,13,False,False
2025-09-02 15:48:10.848,departure,-1,12,False,False
2025-09-02 15:52:10.842,arrival,1,13,False,False
2025-09-02 15:54:05.933,arrival,1,14,False,False
2025-09-02 15:56:24.087,departure,-1,13,False,False
2025-09-02 16:01:47.488,departure,-1,12,False,False
2025-09-02 16:04:03.805,departure,-1,11,False,False
2025-09-02 16:04:39.899,departure,-1,10,False,False
2025-09-02 16:07:10.145,departure,-1,9,False,False
2025-09-02 16:13:51.111,departure,-1,8,False,False
2025-09-02 16:14:46.435,arrival,1,9,False,False
2025-09-02 16:14:55.872,departure,-1,8,False,False
2025-09-02 16:19:51.647,arrival,1,9,False,False
2025-09-02 16:20:36.697,arrival,1,10,False,False
2025-09-02 16:23:32.665,arrival,1,11,False,False
2025-09-02 16:26:12.429,departure,-1,10,False,False
2025-09-02 16:28:49.842,departure,-1,9,False,False
2025-09-02 16:29:46.268,departure,-1,8,False,False
2025-09-02 16:30:46.233,arrival,1,9,False,False
2025-09-02 16:30:52.900,departure,-1,8,False,False
2025-09-02 16:41:01.359,arrival,1,9,False,False
2025-09-02 16:43:39.014,departure,-1,8,False,False
2025-09-02 16:49:49.423,arrival,1,9,False,False
2025-09-02 16:50:22.383,arrival,1,10,False,False
2025-09-02 16:56:41.040,departure,-1,9,False,False
2025-09-02 16:59:29.665,departure,-1,8,False,False
2025-09-02 17:00:49.553,departure,-1,7,False,False
2025-09-02 17:02:44.261,departure,-1,6,False,False
2025-09-02 17:04:12.497,arrival,1,7,False,False
2025-09-02 17:04:27.172,departure,-1,6,False,False
2025-09-02 17:13:09.236,departure,-1,5,False,False
2025-09-02 17:17:13.689,departure,-1,4,False,False
2025-09-02 17:21:03.566,departure,-1,3,False,False
2025-09-02 17:46:34.730,arrival,1,4,False,False
2025-09-02 17:48:26.286,departure,-1,3,False,False
2025-09-02 17:53:26.803,arrival,1,4,False,False
2025-09-02 17:58:03.441,arrival,1,5,False,False
2025-09-02 17:59:09.141,departure,-1,4,False,False
2025-09-02 18:00:30.617,departure,-1,3,False,False
2025-09-02 18:04:29.984,arrival,1,4,False,False
2025-09-02 18:15:35.046,departure,-1,3,False,False
2025-09-02 18:19:27.805,arrival,1,4,False,False
2025-09-02 18:22:35.115,departure,-1,3,False,False
2025-09-02 19:04:29.359,arrival,1,4,False,False
2025-09-02 19:09:06.722,departure,-1,3,False,False
2025-09-02 19:12:47.180,departure,-1,2,False,False
2025-09-02 19:41:12.642,arrival,1,3,False,False
2025-09-02 19:43:24.019,departure,-1,2,False,False
2025-09-02 19:59:34.285,arrival,1,3,False,False
2025-09-02 20:00:42.130,arrival,1,4,False,False
2025-09-02 20:01:17.864,departure,-1,3,False,False
2025-09-02 20:03:06.525,departure,-1,2,False,False
2025-09-02 20:20:13.465,arrival,1,3,False,False
2025-09-02 20:32:35.914,arrival,1,4,False,False
2025-09-02 20:32:38.277,arrival,1,5,False,False
2025-09-02 20:32:46.514,departure,-1,4,False,False
2025-09-02 20:36:45.126,arrival,1,5,False,False
2025-09-02 20:37:00.794,departure,-1,4,False,False
2025-09-02 20:37:31.376,departure,-1,3,False,False
2025-09-02 20:38:38.196,departure,-1,2,False,False
2025-09-02 20:54:26.204,arrival,1,3,False,False
2025-09-02 21:09:52.425,arrival,1,4,False,False
2025-09-02 21:10:28.780,departure,-1,3,False,False
2025-09-02 21:21:12.284,departure,-1,2,False,False
2025-09-02 21:40:18.457,arrival,1,3,False,False
